"Time","Enterobacterales_A_737866","Veillonellales","Lactobacillales","Pseudomonadales_660879","Caulobacterales","Bacteroidales","Burkholderiales_592522","Oscillospirales","Lachnospirales","Erysipelotrichales","Peptostreptococcales","Acidaminococcales","Coriobacteriales","UBA1381","Actinomycetales","Clostridiales","Desulfovibrionales","Tissierellales","Bacteria_Kingdom","Campylobacterales","Gammaproteobacteria_Class","Haloplasmatales_A","Clostridia_258483_Class","Fusobacteriales_993521","Burkholderiales_595427"
73,0.046,0.00238888888888889,0.00966666666666667,0.000222222222222222,0.000111111111111111,0.488555555555556,0,0.295277777777778,0.0767222222222222,0.0243888888888889,0.000666666666666667,0.0234444444444444,0.000944444444444444,0.00188888888888889,0.000444444444444444,0.001,0.00155555555555556,0,0.0219444444444444,5.55555555555556e-05,0.00361111111111111,0.000111111111111111,0.000277777777777778,5e-04,0
74,0.0543333333333333,0.00161111111111111,0.00933333333333333,0.000388888888888889,0.000444444444444444,0.517944444444444,0.000888888888888889,0.256277777777778,0.0743333333333333,0.0194444444444444,0.000888888888888889,0.0235,0.000277777777777778,0.00194444444444444,0.000833333333333333,0.00161111111111111,0.00138888888888889,5.55555555555556e-05,0.0236111111111111,0.000277777777777778,0.00422222222222222,0.000222222222222222,0.000444444444444444,0.000111111111111111,0
75,0.033886124930901,0.00221116639027087,0.00619126589275843,0.00099502487562189,0.000773908236594804,0.44383637368712,0.00248756218905473,0.264068546158098,0.13869541182974,0.0240464344941957,0.00204532891100055,0.0170812603648425,0.00552791597567717,0.00226644555002764,0.00154781647318961,0.000718629076838032,0.00110558319513543,0,0.0221669430624655,0.000110558319513543,0.00193477059148701,0.000110558319513543,0.00276395798783858,0,0
76,0.00877777777777778,0.00322222222222222,0.00311111111111111,0.00155555555555556,0.00127777777777778,0.329055555555556,0.00433333333333333,0.293222222222222,0.209666666666667,0.0386111111111111,0.00361111111111111,0.00988888888888889,0.0112222222222222,0.00288888888888889,0.00266666666666667,0.000111111111111111,0.001,0,0.0216111111111111,0,0.000388888888888889,0.000166666666666667,0.00538888888888889,0,0
77,0.00866666666666667,0.00294444444444444,0.00138888888888889,0,0,0.163277777777778,0,0.414388888888889,0.175222222222222,0.0915555555555556,0.00938888888888889,0.00855555555555556,0.00138888888888889,0.00377777777777778,0.000222222222222222,0.00527777777777778,0.000277777777777778,0.000166666666666667,0.112388888888889,0,0.000333333333333333,5.55555555555556e-05,0.000222222222222222,0.000222222222222222,0
78,0.0537222222222222,0.000888888888888889,0.001,0,0,0.499111111111111,0.00133333333333333,0.254,0.113666666666667,0.0162777777777778,0.00222222222222222,0.00955555555555555,0.000111111111111111,0.00888888888888889,0,0.00372222222222222,5.55555555555556e-05,0,0.0340555555555556,0,0.000944444444444444,0.000166666666666667,0.000111111111111111,0,0
79,0.0294444444444444,0.00116666666666667,0.0015,5.55555555555556e-05,0,0.436833333333333,0.00283333333333333,0.209055555555556,0.105722222222222,0.0238333333333333,0.00111111111111111,0.0118333333333333,0.000722222222222222,0.00455555555555556,0,0.00494444444444444,0.001,0.000111111111111111,0.163833333333333,0,0.000444444444444444,0,0.000111111111111111,0,0
80,0.00488888888888889,0.00122222222222222,0.00272222222222222,0.000277777777777778,0,0.2655,0.00344444444444444,0.171611111111111,0.0983333333333333,0.0385,0.000666666666666667,0.0165,0.00177777777777778,0.00194444444444444,0,0.00533333333333333,0.00155555555555556,0.000333333333333333,0.383,0,0,0,0.000222222222222222,0,0
81,5.55555555555556e-05,0.000444444444444444,0.00383333333333333,0.000666666666666667,0,0.0410555555555556,0,0.136555555555556,0.258277777777778,0.153166666666667,0.000722222222222222,0.0613888888888889,0.00188888888888889,0.0045,0,0.000111111111111111,0.000444444444444444,5.55555555555556e-05,0.334055555555556,0,0,5.55555555555556e-05,0.000888888888888889,5.55555555555556e-05,0
82,0,0.000111111111111111,0.00294444444444444,0.000555555555555556,0,0.0786666666666667,0,0.140444444444444,0.238555555555556,0.147388888888889,0.000888888888888889,0.0582777777777778,0.00166666666666667,0.00477777777777778,0,0.000388888888888889,0.001,0.000111111111111111,0.319722222222222,0,0.000111111111111111,5.55555555555556e-05,0.000444444444444444,0.00216666666666667,0
