"Time","Phocaeicola_A_858004","Faecalibacterium","Bacteroides_H","Lachnospira","unknown_Genus_4","Phascolarctobacterium_A","Mesosutterella","Blautia_A_141781","Akkermansia","unknown_Genus_55","other"
103,0.467611111111111,0.0382777777777778,0.248555555555556,0.0510555555555556,0.0175,0.0333333333333333,0.00733333333333333,0.0119444444444444,0.0147777777777778,0.00511111111111111,0.1045
104,0.390555555555556,0.0902777777777778,0.259833333333333,0.0405,0.0336111111111111,0.0350555555555556,0.00705555555555556,0.007,0.00922222222222222,0.000111111111111111,0.126777777777778
105,0.396277777777778,0.0861111111111111,0.260666666666667,0.0361666666666667,0.0355555555555556,0.0349444444444444,0.00727777777777778,0.00727777777777778,0.0111111111111111,0.00122222222222222,0.123388888888889
106,0.407722222222222,0.0825555555555555,0.260888888888889,0.0309444444444444,0.0345,0.0334444444444444,0.00755555555555556,0.00683333333333333,0.0143333333333333,0.00383333333333333,0.117388888888889
107,0.412055555555556,0.0759444444444444,0.267611111111111,0.0256666666666667,0.035,0.0300555555555556,0.00644444444444444,0.00655555555555556,0.0199444444444444,0.00777777777777778,0.112944444444444
108,0.420777777777778,0.0672777777777778,0.272222222222222,0.0217222222222222,0.0333888888888889,0.0279444444444444,0.00588888888888889,0.00611111111111111,0.0271111111111111,0.0123333333333333,0.105222222222222
109,0.429277777777778,0.0591111111111111,0.276611111111111,0.0182777777777778,0.0318333333333333,0.0247222222222222,0.0055,0.00561111111111111,0.0337222222222222,0.0173333333333333,0.098
110,0.437888888888889,0.0505,0.279666666666667,0.0169444444444444,0.0304444444444444,0.021,0.00494444444444444,0.00588888888888889,0.039,0.0211111111111111,0.0926111111111111
111,0.450833333333333,0.0455555555555556,0.278888888888889,0.0155,0.0280555555555556,0.0188888888888889,0.00416666666666667,0.0055,0.0421666666666667,0.0235555555555556,0.0868888888888889
112,0.456777777777778,0.0446111111111111,0.274666666666667,0.0156111111111111,0.0242777777777778,0.0176111111111111,0.00422222222222222,0.00533333333333333,0.0452777777777778,0.0255,0.0861111111111111
113,0.417388888888889,0.0452777777777778,0.368722222222222,0.0648888888888889,0.00988888888888889,0.019,0.00694444444444444,0.00588888888888889,0.002,0.000222222222222222,0.0597777777777778
114,0.414444444444444,0.0512777777777778,0.305944444444444,0.0138888888888889,0.0132222222222222,0.0302777777777778,0.0295,0.01,0,0.000166666666666667,0.131277777777778
115,0.417222222222222,0.0373888888888889,0.301944444444444,0.0264444444444444,0.022,0.0411666666666667,0.0195555555555556,0.0120555555555556,0.0045,0.011,0.106722222222222
116,0.405277777777778,0.0328888888888889,0.362888888888889,0.0189444444444444,0.0138333333333333,0.0529444444444444,0.0196666666666667,0.0103888888888889,0.00633333333333333,0.00366666666666667,0.0731666666666667
117,0.293055555555556,0.0605,0.443666666666667,0.0106111111111111,0.0277222222222222,0.0304444444444444,0.0232222222222222,0.00844444444444444,0.00961111111111111,0.00183333333333333,0.0908888888888889
118,0.363555555555556,0.0786111111111111,0.246333333333333,0.0521666666666667,0.0376666666666667,0.0201111111111111,0.0191111111111111,0.0189444444444444,0.0315,0.00166666666666667,0.130333333333333
119,0.448222222222222,0.100388888888889,0.202166666666667,0.0536111111111111,0.0231666666666667,0.0199444444444444,0.00933333333333333,0.011,0.00127777777777778,0.02,0.110888888888889
120,0.527944444444444,0.0787222222222222,0.1915,0.0103333333333333,0.0203333333333333,0.0159444444444444,0.0136111111111111,0.0130555555555556,0.00366666666666667,0,0.124888888888889
121,0.516666666666667,0.0256111111111111,0.228055555555556,0.00377777777777778,0.038,0.0259444444444444,0.0158888888888889,0.0134444444444444,0.0234444444444444,0.000222222222222222,0.108944444444444
122,0.347166666666667,0.0157777777777778,0.288055555555556,0.00255555555555556,0.0217777777777778,0.00966666666666667,0.00638888888888889,0.0115,0.0307222222222222,0.0463333333333333,0.220055555555556
123,0.397333333333333,0.0792777777777778,0.243666666666667,0.0151666666666667,0.0358333333333333,0.0408888888888889,0.0182222222222222,0.0177222222222222,0.0286666666666667,0.000277777777777778,0.122944444444444
