"Time","Phocaeicola_A_858004","Bacteroides_H","Faecalibacterium","Paramuribaculum","Lachnospira","Parabacteroides_B_862066","Phascolarctobacterium_A","Ruminococcus_E","Gemmiger_A_73129","Prevotella"
283,5671,7495,910,392,166,749,103,240,229,0
284,6196,6317,955,420,166,813,135,250,248,0
285,6537,5185,1002,453,167,885,167,257,266,0
286,6659,4476,1050,487,168,960,194,259,279,0
287,5620,4363,1096,530,139,1006,214,244,311,180
288,4776,3685,940,472,125,924,211,301,315,876
289,2785,2536,718,412,89,637,251,418,320,2253
290,1500,1844,580,358,56,499,247,501,317,3134
291,2606,3130,902,395,66,790,273,364,315,1972
292,4269,3579,1636,427,129,1027,315,208,302,716
293,5447,3980,2377,466,227,1149,343,110,286,3
294,5601,3998,2674,531,313,1038,330,100,244,0
295,6086,6142,1177,536,76,1197,189,99,158,0
296,5475,6593,692,645,45,1507,264,99,181,0
297,4207,5637,2020,574,205,1121,372,74,212,0
298,4725,5735,1424,776,111,1248,327,116,277,0
299,5069,5829,881,1020,32,1483,323,179,353,2
300,3328,2845,2284,81,203,566,179,245,654,360
301,5540,4290,3575,68,171,762,190,32,161,0
302,6566,3936,2836,210,89,903,239,40,307,3
303,5696,3677,1872,195,73,924,359,154,470,47
304,5296,3827,1835,422,64,1021,335,199,579,36
305,4868,4039,1794,757,79,1135,339,245,647,11
306,4681,4186,1763,975,104,1167,322,251,683,0
307,5224,4895,2669,553,168,893,281,140,302,1
308,5906,5508,1101,747,265,1129,243,54,82,0
309,5760,5300,1833,481,257,991,415,65,135,1
310,4364,3733,1352,267,207,695,319,87,174,817
311,2594,1527,641,87,107,319,138,99,202,1878
312,4681,3095,804,428,126,513,277,183,341,862
313,6178,4291,1249,704,142,741,371,246,432,4
314,5002,3238,4010,557,118,952,258,191,437,0
315,4230,2730,3793,759,114,1411,134,285,755,7
316,5305,4064,2337,805,157,1519,166,200,352,0
317,5634,2985,2871,533,270,1186,259,127,289,0
318,3913,2407,1486,430,148,1040,217,251,610,216
319,2650,1234,1230,272,79,494,185,309,811,837
320,5173,4058,2334,718,100,1127,297,216,419,3
321,5184,4310,1680,491,93,1055,166,240,530,11
322,5924,3745,1307,451,30,1108,200,257,511,105
323,6505,4563,528,751,21,1721,307,172,295,0
324,7718,4822,680,641,10,1524,63,175,216,0
325,5867,5152,712,746,22,1707,442,348,221,0
326,6243,4989,1029,546,158,1508,280,221,134,0
327,5485,3437,946,487,23,1323,343,300,245,148
328,5268,4996,1306,543,55,1214,228,352,231,4
329,3660,3302,940,407,35,838,156,376,201,752
330,2122,1696,538,225,6,566,127,368,175,1448
331,4629,4108,1387,591,2,1567,168,816,263,5
332,5415,4021,1429,608,21,1412,179,651,253,35
333,6125,3850,1363,614,42,1195,190,381,233,67
334,7764,5341,753,431,26,956,227,173,71,3
335,7531,4506,1060,347,57,792,498,424,78,0
